n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,1000,0.0028
1000,0.05,1,0.25,0.005,1000,0.0034
1500,0.05,1,0.25,0.005,1000,0.0029
2000,0.05,1,0.25,0.005,1000,0.0063
2500,0.05,1,0.25,0.005,1000,0.0057
3000,0.05,1,0.25,0.005,1000,0.0044
500,0.1,1,0.25,0.005,1000,0.0059
1000,0.1,1,0.25,0.005,1000,0.004
1500,0.1,1,0.25,0.005,1000,0.005
2000,0.1,1,0.25,0.005,1000,0.005
2500,0.1,1,0.25,0.005,1000,0.0071
3000,0.1,1,0.25,0.005,1000,0.0043
500,0.15,1,0.25,0.005,1000,0.0046
1000,0.15,1,0.25,0.005,1000,0.0049
1500,0.15,1,0.25,0.005,1000,0.005
2000,0.15,1,0.25,0.005,1000,0.0053
2500,0.15,1,0.25,0.005,1000,0.0048
3000,0.15,1,0.25,0.005,1000,0.0051
500,0.2,1,0.25,0.005,1000,0.0053
1000,0.2,1,0.25,0.005,1000,0.0045
1500,0.2,1,0.25,0.005,1000,0.0039
2000,0.2,1,0.25,0.005,1000,0.0047
2500,0.2,1,0.25,0.005,1000,0.005
3000,0.2,1,0.25,0.005,1000,0.0043
500,0.25,1,0.25,0.005,1000,0.0062
1000,0.25,1,0.25,0.005,1000,0.0051
1500,0.25,1,0.25,0.005,1000,0.0044
2000,0.25,1,0.25,0.005,1000,0.0057
2500,0.25,1,0.25,0.005,1000,0.004
3000,0.25,1,0.25,0.005,1000,0.0049
500,0.3,1,0.25,0.005,1000,0.0044
1000,0.3,1,0.25,0.005,1000,0.0049
1500,0.3,1,0.25,0.005,1000,0.0046
2000,0.3,1,0.25,0.005,1000,0.0048
2500,0.3,1,0.25,0.005,1000,0.0042
3000,0.3,1,0.25,0.005,1000,0.0053
500,0.05,1.25,0.25,0.005,1000,0.0243
1000,0.05,1.25,0.25,0.005,1000,0.0564
1500,0.05,1.25,0.25,0.005,1000,0.09
2000,0.05,1.25,0.25,0.005,1000,0.1327
2500,0.05,1.25,0.25,0.005,1000,0.1777
3000,0.05,1.25,0.25,0.005,1000,0.2268
500,0.1,1.25,0.25,0.005,1000,0.0461
1000,0.1,1.25,0.25,0.005,1000,0.113
1500,0.1,1.25,0.25,0.005,1000,0.2007
2000,0.1,1.25,0.25,0.005,1000,0.2817
2500,0.1,1.25,0.25,0.005,1000,0.3633
3000,0.1,1.25,0.25,0.005,1000,0.4315
500,0.15,1.25,0.25,0.005,1000,0.0659
1000,0.15,1.25,0.25,0.005,1000,0.17
1500,0.15,1.25,0.25,0.005,1000,0.2931
2000,0.15,1.25,0.25,0.005,1000,0.3973
2500,0.15,1.25,0.25,0.005,1000,0.4825
3000,0.15,1.25,0.25,0.005,1000,0.5546
500,0.2,1.25,0.25,0.005,1000,0.0848
1000,0.2,1.25,0.25,0.005,1000,0.2233
1500,0.2,1.25,0.25,0.005,1000,0.3636
2000,0.2,1.25,0.25,0.005,1000,0.476
2500,0.2,1.25,0.25,0.005,1000,0.5612
3000,0.2,1.25,0.25,0.005,1000,0.6139
500,0.25,1.25,0.25,0.005,1000,0.1064
1000,0.25,1.25,0.25,0.005,1000,0.2729
1500,0.25,1.25,0.25,0.005,1000,0.4258
2000,0.25,1.25,0.25,0.005,1000,0.5225
2500,0.25,1.25,0.25,0.005,1000,0.6075
3000,0.25,1.25,0.25,0.005,1000,0.6593
