n,p,or,r,alpha,n.sim,prop.drivers
600,0.1,1.25,0.25,0.005,50,0.07
1200,0.1,1.25,0.25,0.005,50,0.192
1800,0.1,1.25,0.25,0.005,50,0.328
2400,0.1,1.25,0.25,0.005,50,0.422
3600,0.1,1.25,0.25,0.005,50,0.602
4800,0.1,1.25,0.25,0.005,50,0.698
6000,0.1,1.25,0.25,0.005,50,0.766
7200,0.1,1.25,0.25,0.005,50,0.79
8400,0.1,1.25,0.25,0.005,50,0.812
9600,0.1,1.25,0.25,0.005,50,0.818
600,0.2,1.25,0.25,0.005,50,0.116
1200,0.2,1.25,0.25,0.005,50,0.338
1800,0.2,1.25,0.25,0.005,50,0.502
2400,0.2,1.25,0.25,0.005,50,0.628
3600,0.2,1.25,0.25,0.005,50,0.748
4800,0.2,1.25,0.25,0.005,50,0.816
6000,0.2,1.25,0.25,0.005,50,0.844
7200,0.2,1.25,0.25,0.005,50,0.862
8400,0.2,1.25,0.25,0.005,50,0.884
9600,0.2,1.25,0.25,0.005,50,0.894
600,0.3,1.25,0.25,0.005,50,0.212
1200,0.3,1.25,0.25,0.005,50,0.426
1800,0.3,1.25,0.25,0.005,50,0.6
2400,0.3,1.25,0.25,0.005,50,0.682
3600,0.3,1.25,0.25,0.005,50,0.792
4800,0.3,1.25,0.25,0.005,50,0.83
6000,0.3,1.25,0.25,0.005,50,0.876
7200,0.3,1.25,0.25,0.005,50,0.894
8400,0.3,1.25,0.25,0.005,50,0.916
9600,0.3,1.25,0.25,0.005,50,0.952
600,0.1,1.5,0.25,0.005,50,0.36
1200,0.1,1.5,0.25,0.005,50,0.672
1800,0.1,1.5,0.25,0.005,50,0.736
2400,0.1,1.5,0.25,0.005,50,0.794
3600,0.1,1.5,0.25,0.005,50,0.864
4800,0.1,1.5,0.25,0.005,50,0.89
6000,0.1,1.5,0.25,0.005,50,0.924
7200,0.1,1.5,0.25,0.005,50,0.964
8400,0.1,1.5,0.25,0.005,50,0.96
9600,0.1,1.5,0.25,0.005,50,0.978
600,0.2,1.5,0.25,0.005,50,0.514
1200,0.2,1.5,0.25,0.005,50,0.746
1800,0.2,1.5,0.25,0.005,50,0.806
2400,0.2,1.5,0.25,0.005,50,0.844
3600,0.2,1.5,0.25,0.005,50,0.916
4800,0.2,1.5,0.25,0.005,50,0.968
6000,0.2,1.5,0.25,0.005,50,0.98
7200,0.2,1.5,0.25,0.005,50,0.986
8400,0.2,1.5,0.25,0.005,50,0.998
9600,0.2,1.5,0.25,0.005,50,1
600,0.3,1.5,0.25,0.005,50,0.542
1200,0.3,1.5,0.25,0.005,50,0.774
1800,0.3,1.5,0.25,0.005,50,0.82
2400,0.3,1.5,0.25,0.005,50,0.882
3600,0.3,1.5,0.25,0.005,50,0.936
4800,0.3,1.5,0.25,0.005,50,0.974
6000,0.3,1.5,0.25,0.005,50,0.99
7200,0.3,1.5,0.25,0.005,50,1
8400,0.3,1.5,0.25,0.005,50,0.998
9600,0.3,1.5,0.25,0.005,50,0.998
600,0.1,1.75,0.25,0.005,50,0.596
1200,0.1,1.75,0.25,0.005,50,0.794
1800,0.1,1.75,0.25,0.005,50,0.828
2400,0.1,1.75,0.25,0.005,50,0.874
3600,0.1,1.75,0.25,0.005,50,0.934
4800,0.1,1.75,0.25,0.005,50,0.982
6000,0.1,1.75,0.25,0.005,50,0.992
7200,0.1,1.75,0.25,0.005,50,0.996
8400,0.1,1.75,0.25,0.005,50,1
9600,0.1,1.75,0.25,0.005,50,1
600,0.2,1.75,0.25,0.005,50,0.692
1200,0.2,1.75,0.25,0.005,50,0.84
1800,0.2,1.75,0.25,0.005,50,0.89
2400,0.2,1.75,0.25,0.005,50,0.946
3600,0.2,1.75,0.25,0.005,50,0.982
4800,0.2,1.75,0.25,0.005,50,0.996
6000,0.2,1.75,0.25,0.005,50,0.998
7200,0.2,1.75,0.25,0.005,50,1
8400,0.2,1.75,0.25,0.005,50,1
9600,0.2,1.75,0.25,0.005,50,1
600,0.3,1.75,0.25,0.005,50,0.716
1200,0.3,1.75,0.25,0.005,50,0.846
1800,0.3,1.75,0.25,0.005,50,0.914
2400,0.3,1.75,0.25,0.005,50,0.96
3600,0.3,1.75,0.25,0.005,50,0.984
4800,0.3,1.75,0.25,0.005,50,0.996
6000,0.3,1.75,0.25,0.005,50,1
7200,0.3,1.75,0.25,0.005,50,1
8400,0.3,1.75,0.25,0.005,50,1
9600,0.3,1.75,0.25,0.005,50,1
600,0.1,2,0.25,0.005,50,0.74
1200,0.1,2,0.25,0.005,50,0.856
1800,0.1,2,0.25,0.005,50,0.902
2400,0.1,2,0.25,0.005,50,0.938
3600,0.1,2,0.25,0.005,50,0.976
4800,0.1,2,0.25,0.005,50,0.994
6000,0.1,2,0.25,0.005,50,0.998
7200,0.1,2,0.25,0.005,50,1
8400,0.1,2,0.25,0.005,50,1
9600,0.1,2,0.25,0.005,50,1
600,0.2,2,0.25,0.005,50,0.754
1200,0.2,2,0.25,0.005,50,0.88
1800,0.2,2,0.25,0.005,50,0.942
2400,0.2,2,0.25,0.005,50,0.964
3600,0.2,2,0.25,0.005,50,0.998
4800,0.2,2,0.25,0.005,50,0.998
6000,0.2,2,0.25,0.005,50,1
7200,0.2,2,0.25,0.005,50,1
8400,0.2,2,0.25,0.005,50,1
9600,0.2,2,0.25,0.005,50,1
600,0.3,2,0.25,0.005,50,0.796
1200,0.3,2,0.25,0.005,50,0.9
1800,0.3,2,0.25,0.005,50,0.962
2400,0.3,2,0.25,0.005,50,0.984
3600,0.3,2,0.25,0.005,50,0.998
4800,0.3,2,0.25,0.005,50,1
6000,0.3,2,0.25,0.005,50,1
7200,0.3,2,0.25,0.005,50,1
8400,0.3,2,0.25,0.005,50,1
9600,0.3,2,0.25,0.005,50,1
