n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
400,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,16,0.16,0.06,0.43024,1.2173
800,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,32,0.344,0.07,0.28259,1.04878
1300,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,52,0.536,0.04,0.21009,0.98141
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,68,0.608,0.06,0.18465,1.06804
2500,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,100,0.76,0.03,0.14726,1.03617
3400,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,136,0.872,0.09,0.12531,0.95144
4200,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,168,0.872,0.07,0.11101,0.94865
5000,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,200,0.872,0.08,0.10224,0.96659
5900,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,236,0.92,0.05,0.09308,0.95911
6700,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,268,0.912,0.05,0.0871,0.98534
400,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,8,0.136,0.06,0.45655,0.82611
800,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,16,0.28,0.09,0.28415,0.70209
1300,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,26,0.52,0.05,0.21293,0.68628
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,34,0.68,0.05,0.18435,0.68219
2500,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,50,0.808,0.09,0.14684,0.6126
3400,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,68,0.856,0.05,0.12479,0.62963
4200,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,84,0.856,0.08,0.11086,0.60479
5000,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,100,0.88,0.07,0.10146,0.63523
5900,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,118,0.904,0.1,0.09372,0.63691
6700,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,134,0.896,0.05,0.08761,0.68057
400,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,4,0.088,0.07,0.46028,0.53736
800,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,8,0.288,0.03,0.29569,0.49594
1300,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,13,0.456,0.08,0.21647,0.44899
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,17,0.6,0.09,0.18523,0.44848
2500,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,25,0.816,0.13,0.15103,0.4477
3400,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,34,0.84,0.1,0.12673,0.44091
4200,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,42,0.864,0.08,0.11172,0.43302
5000,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,50,0.872,0.11,0.10227,0.4205
5900,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,59,0.912,0.1,0.09404,0.43813
6700,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,67,0.92,0.07,0.08747,0.41585
400,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,16,0.36,0.13,0.46744,1.18014
