n,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,50,0.326,1135
2400,360,0.5,1.25,0.25,0.005,50,0.444,1128
2400,480,0.5,1.25,0.25,0.005,50,0.572,1127
2400,600,0.5,1.25,0.25,0.005,50,0.61,1134
2400,720,0.5,1.25,0.25,0.005,50,0.646,1134
2400,840,0.5,1.25,0.25,0.005,50,0.674,1131
2400,960,0.5,1.25,0.25,0.005,50,0.716,1133
2400,1080,0.5,1.25,0.25,0.005,50,0.702,1130
2400,1200,0.5,1.25,0.25,0.005,50,0.74,1136
2400,240,0.5,1.5,0.25,0.005,50,0.714,1103
2400,360,0.5,1.5,0.25,0.005,50,0.796,1096
2400,480,0.5,1.5,0.25,0.005,50,0.82,1098
2400,600,0.5,1.5,0.25,0.005,50,0.854,1099
2400,720,0.5,1.5,0.25,0.005,50,0.864,1095
2400,840,0.5,1.5,0.25,0.005,50,0.88,1098
2400,960,0.5,1.5,0.25,0.005,50,0.9,1098
2400,1080,0.5,1.5,0.25,0.005,50,0.91,1094
2400,1200,0.5,1.5,0.25,0.005,50,0.91,1097
2400,240,0.5,1.75,0.25,0.005,50,0.816,1079
2400,360,0.5,1.75,0.25,0.005,50,0.882,1079
2400,480,0.5,1.75,0.25,0.005,50,0.888,1083
2400,600,0.5,1.75,0.25,0.005,50,0.946,1074
2400,720,0.5,1.75,0.25,0.005,50,0.924,1082
2400,840,0.5,1.75,0.25,0.005,50,0.948,1085
2400,960,0.5,1.75,0.25,0.005,50,0.956,1086
2400,1080,0.5,1.75,0.25,0.005,50,0.958,1080
2400,1200,0.5,1.75,0.25,0.005,50,0.96,1090
2400,240,0.5,2,0.25,0.005,50,0.894,1073
2400,360,0.5,2,0.25,0.005,50,0.914,1067
2400,480,0.5,2,0.25,0.005,50,0.952,1071
2400,600,0.5,2,0.25,0.005,50,0.954,1067
2400,720,0.5,2,0.25,0.005,50,0.97,1073
2400,840,0.5,2,0.25,0.005,50,0.982,1073
2400,960,0.5,2,0.25,0.005,50,0.988,1071
2400,1080,0.5,2,0.25,0.005,50,0.984,1075
2400,1200,0.5,2,0.25,0.005,50,0.988,1068
