n.screened,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,50,0.322,1131
2400,360,0.5,1.25,0.25,0.005,50,0.466,1132
2400,480,0.5,1.25,0.25,0.005,50,0.574,1132
2400,600,0.5,1.25,0.25,0.005,50,0.608,1129
2400,720,0.5,1.25,0.25,0.005,50,0.67,1132
2400,840,0.5,1.25,0.25,0.005,50,0.664,1131
2400,960,0.5,1.25,0.25,0.005,50,0.708,1127
2400,1080,0.5,1.25,0.25,0.005,50,0.726,1130
2400,1200,0.5,1.25,0.25,0.005,50,0.726,1131
2400,240,0.5,1.5,0.25,0.005,50,0.734,1095
2400,360,0.5,1.5,0.25,0.005,50,0.798,1094
2400,480,0.5,1.5,0.25,0.005,50,0.824,1100
2400,600,0.5,1.5,0.25,0.005,50,0.838,1097
2400,720,0.5,1.5,0.25,0.005,50,0.884,1091
2400,840,0.5,1.5,0.25,0.005,50,0.856,1097
2400,960,0.5,1.5,0.25,0.005,50,0.888,1098
2400,1080,0.5,1.5,0.25,0.005,50,0.896,1093
2400,1200,0.5,1.5,0.25,0.005,50,0.896,1096
2400,240,0.5,1.75,0.25,0.005,50,0.824,1078
2400,360,0.5,1.75,0.25,0.005,50,0.866,1080
2400,480,0.5,1.75,0.25,0.005,50,0.892,1083
2400,600,0.5,1.75,0.25,0.005,50,0.932,1079
2400,720,0.5,1.75,0.25,0.005,50,0.93,1075
2400,840,0.5,1.75,0.25,0.005,50,0.93,1080
2400,960,0.5,1.75,0.25,0.005,50,0.956,1080
2400,1080,0.5,1.75,0.25,0.005,50,0.974,1078
2400,1200,0.5,1.75,0.25,0.005,50,0.952,1080
2400,240,0.5,2,0.25,0.005,50,0.904,1069
2400,360,0.5,2,0.25,0.005,50,0.932,1074
2400,480,0.5,2,0.25,0.005,50,0.952,1074
2400,600,0.5,2,0.25,0.005,50,0.96,1078
2400,720,0.5,2,0.25,0.005,50,0.97,1075
2400,840,0.5,2,0.25,0.005,50,0.974,1069
2400,960,0.5,2,0.25,0.005,50,0.984,1069
2400,1080,0.5,2,0.25,0.005,50,0.99,1067
2400,1200,0.5,2,0.25,0.005,50,0.994,1078
