n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
1700,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,68,0.664,0.06,0.18434,1.06917
1700,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,34,0.664,0.03,0.1829,0.64282
1700,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,17,0.664,0.12,0.18787,0.45649
1700,25,0.5,2.73,1.5,0.25,0.01,0.0125,25,68,0.856,0.11,0.19902,1.00972
1700,50,0.5,2.73,1.5,0.25,0.01,0.0125,25,34,0.888,0.21,0.19704,0.64942
1700,100,0.5,2.73,1.5,0.25,0.01,0.0125,25,17,0.88,0.36,0.20299,0.46226
1700,25,0.5,2.73,1.75,0.25,0.01,0.0125,25,68,0.944,0.22,0.21411,1.10466
1700,50,0.5,2.73,1.75,0.25,0.01,0.0125,25,34,0.952,0.39,0.21422,0.65078
1700,100,0.5,2.73,1.75,0.25,0.01,0.0125,25,17,0.936,0.63,0.21805,0.46608
1700,25,0.5,2.73,2,0.25,0.01,0.0125,25,68,0.96,0.3,0.2328,1.12462
1700,50,0.5,2.73,2,0.25,0.01,0.0125,25,34,0.96,0.58,0.22972,0.64803
1700,100,0.5,2.73,2,0.25,0.01,0.0125,25,17,0.944,0.81,0.23847,0.47936
