n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,n.real,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
800,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,40,800,0.316,0.055,0.28231,1.3546
900,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,45,900,0.328,0.075,0.26509,1.27087
1000,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,1000,0.34,0.06,0.24791,1.31862
1100,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,55,1100,0.472,0.095,0.23264,1.20093
1100,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,55,1100,0.436,0.065,0.22951,1.16332
1200,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,60,1200,0.472,0.075,0.22175,1.1729
1300,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,65,1300,0.536,0.04,0.21107,1.1206
1300,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,65,1300,0.516,0.07,0.213,1.28442
1400,20,0.5,2.73,1.25,0.25,0.01,0.0125,50,70,1400,0.552,0.035,0.20428,1.27546
800,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,37,814,0.344,0.045,0.27745,1.20035
900,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,41,902,0.316,0.075,0.26313,1.16168
1000,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,46,1012,0.468,0.06,0.24649,1.20892
1100,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,1100,0.424,0.065,0.23441,1.16139
1100,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,1100,0.44,0.05,0.23214,1.14021
1200,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,55,1210,0.476,0.065,0.22107,1.08115
1300,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,60,1320,0.536,0.08,0.20887,1.06537
1300,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,60,1320,0.532,0.065,0.21035,1.11713
1400,22,0.5,2.73,1.25,0.25,0.01,0.0125,50,64,1408,0.544,0.08,0.20575,1.18367
800,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,34,816,0.308,0.07,0.27913,1.13923
900,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,38,912,0.428,0.075,0.25919,1.05168
1000,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,42,1008,0.372,0.035,0.24378,1.07733
1100,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,46,1104,0.424,0.05,0.23194,1.14372
1100,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,46,1104,0.44,0.08,0.23172,1.09132
1200,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,1200,0.452,0.075,0.22287,1.12007
1300,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,55,1320,0.516,0.04,0.21063,1.11564
1300,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,55,1320,0.548,0.095,0.21009,1.07504
1400,24,0.5,2.73,1.25,0.25,0.01,0.0125,50,59,1416,0.548,0.05,0.2012,1.04152
800,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,31,806,0.292,0.06,0.27971,1.03133
900,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,35,910,0.328,0.04,0.25772,1.03181
1000,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,39,1014,0.4,0.06,0.2459,1.03667
1100,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,43,1118,0.44,0.105,0.22945,1.0136
1100,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,43,1118,0.432,0.075,0.23398,1.0182
1200,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,47,1222,0.488,0.055,0.2201,1.04415
1300,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,1300,0.544,0.08,0.21197,0.96125
1300,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,1300,0.464,0.065,0.2121,1.01404
1400,26,0.5,2.73,1.25,0.25,0.01,0.0125,50,54,1404,0.524,0.075,0.20248,0.98926
800,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,29,812,0.356,0.095,0.27649,0.95404
900,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,33,924,0.376,0.035,0.25757,1.03759
1000,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,36,1008,0.38,0.06,0.24737,0.99526
1100,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,40,1120,0.448,0.07,0.23235,0.9415
1100,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,40,1120,0.472,0.05,0.23238,0.98177
1200,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,43,1204,0.52,0.075,0.2239,1.00911
1300,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,47,1316,0.532,0.075,0.20955,0.92397
1300,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,47,1316,0.552,0.055,0.21108,0.96684
1400,28,0.5,2.73,1.25,0.25,0.01,0.0125,50,50,1400,0.552,0.06,0.20352,0.97622
800,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,27,810,0.324,0.055,0.28086,0.97151
900,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,30,900,0.356,0.075,0.26386,0.93847
1000,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,34,1020,0.44,0.065,0.24388,0.88646
1100,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,37,1110,0.484,0.06,0.23352,0.91263
1100,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,37,1110,0.5,0.06,0.2312,0.89298
1200,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,40,1200,0.468,0.06,0.22205,0.91938
1300,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,44,1320,0.516,0.075,0.21175,0.91677
1300,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,44,1320,0.516,0.045,0.20982,0.9078
1400,30,0.5,2.73,1.25,0.25,0.01,0.0125,50,47,1410,0.576,0.065,0.2037,0.90996
800,20,0.5,2.73,1.5,0.25,0.01,0.0125,50,40,800,0.78,0.1,0.30084,1.22857
900,20,0.5,2.73,1.5,0.25,0.01,0.0125,50,45,900,0.776,0.12,0.28125,1.23912
1000,20,0.5,2.73,1.5,0.25,0.01,0.0125,50,50,1000,0.816,0.08,0.26832,1.33371
1100,20,0.5,2.73,1.5,0.25,0.01,0.0125,50,55,1100,0.84,0.115,0.25491,1.26937
