n,n.communities,icc,p,community.var,or,r,alpha,n.sim,n.per.community,n.real,prop.drivers,or.margin.of.error
1600,22,0,0.5,2.73,1.25,0.25,0.005,500,73,1606,0.5604,0.17606
1600,24,0,0.5,2.73,1.25,0.25,0.005,500,67,1608,0.5604,0.17646
1600,26,0,0.5,2.73,1.25,0.25,0.005,500,62,1612,0.5612,0.17608
1600,22,0.25,0.5,2.73,1.25,0.25,0.005,500,73,1606,0.4188,0.20202
1600,24,0.25,0.5,2.73,1.25,0.25,0.005,500,67,1608,0.4154,0.20141
1600,26,0.25,0.5,2.73,1.25,0.25,0.005,500,62,1612,0.4196,0.20088
1600,22,0.5,0.5,2.73,1.25,0.25,0.005,500,73,1606,0.2654,0.2443
1600,24,0.5,0.5,2.73,1.25,0.25,0.005,500,67,1608,0.2508,0.24325
1600,26,0.5,0.5,2.73,1.25,0.25,0.005,500,62,1612,0.2568,0.2422
1600,22,0.75,0.5,2.73,1.25,0.25,0.005,500,73,1606,0.1084,0.3388
1600,24,0.75,0.5,2.73,1.25,0.25,0.005,500,67,1608,0.1114,0.33553
1600,26,0.75,0.5,2.73,1.25,0.25,0.005,500,62,1612,0.1164,0.33402
1600,22,1,0.5,2.73,1.25,0.25,0.005,500,73,1606,0.08497,1.43613
1600,24,1,0.5,2.73,1.25,0.25,0.005,500,67,1608,0.08206,1.33612
1600,26,1,0.5,2.73,1.25,0.25,0.005,500,62,1612,0.06834,1.25548
1600,22,0,0.5,2.73,1.5,0.25,0.005,500,73,1606,0.9154,0.1978
1600,24,0,0.5,2.73,1.5,0.25,0.005,500,67,1608,0.917,0.19765
1600,26,0,0.5,2.73,1.5,0.25,0.005,500,62,1612,0.9176,0.19799
1600,22,0.25,0.5,2.73,1.5,0.25,0.005,500,73,1606,0.874,0.22641
1600,24,0.25,0.5,2.73,1.5,0.25,0.005,500,67,1608,0.8786,0.22493
1600,26,0.25,0.5,2.73,1.5,0.25,0.005,500,62,1612,0.88,0.22606
1600,22,0.5,0.5,2.73,1.5,0.25,0.005,500,73,1606,0.74,0.27392
1600,24,0.5,0.5,2.73,1.5,0.25,0.005,500,67,1608,0.7466,0.27213
1600,26,0.5,0.5,2.73,1.5,0.25,0.005,500,62,1612,0.7536,0.26991
1600,22,0.75,0.5,2.73,1.5,0.25,0.005,500,73,1606,0.4204,0.3759
1600,24,0.75,0.5,2.73,1.5,0.25,0.005,500,67,1608,0.4244,0.37357
1600,26,0.75,0.5,2.73,1.5,0.25,0.005,500,62,1612,0.437,0.37156
1600,22,1,0.5,2.73,1.5,0.25,0.005,500,73,1606,0.1392,1.52669
1600,24,1,0.5,2.73,1.5,0.25,0.005,500,67,1608,0.11463,1.42004
1600,26,1,0.5,2.73,1.5,0.25,0.005,500,62,1612,0.10964,1.33906
1600,22,0,0.5,2.73,1.75,0.25,0.005,500,73,1606,0.947,0.22168
1600,24,0,0.5,2.73,1.75,0.25,0.005,500,67,1608,0.9442,0.22114
1600,26,0,0.5,2.73,1.75,0.25,0.005,500,62,1612,0.9426,0.2212
1600,22,0.25,0.5,2.73,1.75,0.25,0.005,500,73,1606,0.9368,0.25031
1600,24,0.25,0.5,2.73,1.75,0.25,0.005,500,67,1608,0.9376,0.25205
1600,26,0.25,0.5,2.73,1.75,0.25,0.005,500,62,1612,0.9408,0.25096
1600,22,0.5,0.5,2.73,1.75,0.25,0.005,500,73,1606,0.9046,0.30207
1600,24,0.5,0.5,2.73,1.75,0.25,0.005,500,67,1608,0.9032,0.30252
1600,26,0.5,0.5,2.73,1.75,0.25,0.005,500,62,1612,0.904,0.2997
1600,22,0.75,0.5,2.73,1.75,0.25,0.005,500,73,1606,0.6774,0.41695
1600,24,0.75,0.5,2.73,1.75,0.25,0.005,500,67,1608,0.6898,0.41187
1600,26,0.75,0.5,2.73,1.75,0.25,0.005,500,62,1612,0.6814,0.41051
1600,22,1,0.5,2.73,1.75,0.25,0.005,500,73,1606,0.17615,1.58819
1600,24,1,0.5,2.73,1.75,0.25,0.005,500,67,1608,0.1828,1.44391
1600,26,1,0.5,2.73,1.75,0.25,0.005,500,62,1612,0.1784,1.43074
1600,22,0,0.5,2.73,2,0.25,0.005,500,73,1606,0.9634,0.24392
1600,24,0,0.5,2.73,2,0.25,0.005,500,67,1608,0.9666,0.24447
1600,26,0,0.5,2.73,2,0.25,0.005,500,62,1612,0.9636,0.24403
1600,22,0.25,0.5,2.73,2,0.25,0.005,500,73,1606,0.9564,0.27545
1600,24,0.25,0.5,2.73,2,0.25,0.005,500,67,1608,0.9536,0.27564
1600,26,0.25,0.5,2.73,2,0.25,0.005,500,62,1612,0.9574,0.276
1600,22,0.5,0.5,2.73,2,0.25,0.005,500,73,1606,0.9432,0.33018
1600,24,0.5,0.5,2.73,2,0.25,0.005,500,67,1608,0.9368,0.32826
1600,26,0.5,0.5,2.73,2,0.25,0.005,500,62,1612,0.9396,0.32803
1600,22,0.75,0.5,2.73,2,0.25,0.005,500,73,1606,0.8116,0.4549
1600,24,0.75,0.5,2.73,2,0.25,0.005,500,67,1608,0.8262,0.44879
1600,26,0.75,0.5,2.73,2,0.25,0.005,500,62,1612,0.8266,0.44337
1600,22,1,0.5,2.73,2,0.25,0.005,500,73,1606,0.2371,1.65613
1600,24,1,0.5,2.73,2,0.25,0.005,500,67,1608,0.24309,1.54636
1600,26,1,0.5,2.73,2,0.25,0.005,500,62,1612,0.22877,1.4843
