n,n.neg,p,or,r,alpha,n.sim,prop.drivers
2400,240,0.5,1.25,0.25,0.005,50,0.758
2400,360,0.5,1.25,0.25,0.005,50,0.732
2400,480,0.5,1.25,0.25,0.005,50,0.754
2400,600,0.5,1.25,0.25,0.005,50,0.768
2400,720,0.5,1.25,0.25,0.005,50,0.746
2400,840,0.5,1.25,0.25,0.005,50,0.756
2400,960,0.5,1.25,0.25,0.005,50,0.754
2400,1080,0.5,1.25,0.25,0.005,50,0.76
2400,1200,0.5,1.25,0.25,0.005,50,0.758
2400,240,0.5,1.5,0.25,0.005,50,0.916
2400,360,0.5,1.5,0.25,0.005,50,0.91
2400,480,0.5,1.5,0.25,0.005,50,0.9
2400,600,0.5,1.5,0.25,0.005,50,0.902
2400,720,0.5,1.5,0.25,0.005,50,0.898
2400,840,0.5,1.5,0.25,0.005,50,0.89
2400,960,0.5,1.5,0.25,0.005,50,0.912
2400,1080,0.5,1.5,0.25,0.005,50,0.89
2400,1200,0.5,1.5,0.25,0.005,50,0.916
2400,240,0.5,1.75,0.25,0.005,50,0.974
2400,360,0.5,1.75,0.25,0.005,50,0.972
2400,480,0.5,1.75,0.25,0.005,50,0.966
2400,600,0.5,1.75,0.25,0.005,50,0.962
2400,720,0.5,1.75,0.25,0.005,50,0.978
2400,840,0.5,1.75,0.25,0.005,50,0.968
2400,960,0.5,1.75,0.25,0.005,50,0.974
2400,1080,0.5,1.75,0.25,0.005,50,0.98
2400,1200,0.5,1.75,0.25,0.005,50,0.974
2400,240,0.5,2,0.25,0.005,50,0.98
2400,360,0.5,2,0.25,0.005,50,0.988
2400,480,0.5,2,0.25,0.005,50,0.988
2400,600,0.5,2,0.25,0.005,50,0.99
2400,720,0.5,2,0.25,0.005,50,0.986
2400,840,0.5,2,0.25,0.005,50,0.99
2400,960,0.5,2,0.25,0.005,50,0.988
2400,1080,0.5,2,0.25,0.005,50,0.988
2400,1200,0.5,2,0.25,0.005,50,0.988
