n,n.neg,p,or,r,alpha,n.sim,prop.drivers,n.pos
2400,240,0.5,1.25,0.25,0.005,50,0.326,1126
2400,360,0.5,1.25,0.25,0.005,50,0.468,1128
2400,480,0.5,1.25,0.25,0.005,50,0.544,1132
2400,600,0.5,1.25,0.25,0.005,50,0.618,1130
2400,720,0.5,1.25,0.25,0.005,50,0.634,1132
2400,840,0.5,1.25,0.25,0.005,50,0.684,1124
2400,960,0.5,1.25,0.25,0.005,50,0.708,1138
2400,1080,0.5,1.25,0.25,0.005,50,0.718,1127
2400,1200,0.5,1.25,0.25,0.005,50,0.74,1130
2400,240,0.5,1.5,0.25,0.005,50,0.726,1101
2400,360,0.5,1.5,0.25,0.005,50,0.79,1099
2400,480,0.5,1.5,0.25,0.005,50,0.806,1098
2400,600,0.5,1.5,0.25,0.005,50,0.838,1093
2400,720,0.5,1.5,0.25,0.005,50,0.874,1097
2400,840,0.5,1.5,0.25,0.005,50,0.88,1097
2400,960,0.5,1.5,0.25,0.005,50,0.908,1096
2400,1080,0.5,1.5,0.25,0.005,50,0.902,1094
2400,1200,0.5,1.5,0.25,0.005,50,0.906,1091
2400,240,0.5,1.75,0.25,0.005,50,0.83,1076
2400,360,0.5,1.75,0.25,0.005,50,0.884,1082
2400,480,0.5,1.75,0.25,0.005,50,0.916,1078
2400,600,0.5,1.75,0.25,0.005,50,0.934,1079
2400,720,0.5,1.75,0.25,0.005,50,0.916,1084
2400,840,0.5,1.75,0.25,0.005,50,0.974,1078
2400,960,0.5,1.75,0.25,0.005,50,0.958,1082
2400,1080,0.5,1.75,0.25,0.005,50,0.958,1086
2400,1200,0.5,1.75,0.25,0.005,50,0.962,1081
2400,240,0.5,2,0.25,0.005,50,0.864,1070
2400,360,0.5,2,0.25,0.005,50,0.92,1073
2400,480,0.5,2,0.25,0.005,50,0.936,1069
2400,600,0.5,2,0.25,0.005,50,0.972,1071
2400,720,0.5,2,0.25,0.005,50,0.976,1069
2400,840,0.5,2,0.25,0.005,50,0.984,1067
2400,960,0.5,2,0.25,0.005,50,0.986,1071
2400,1080,0.5,2,0.25,0.005,50,0.976,1072
2400,1200,0.5,2,0.25,0.005,50,0.99,1076
