n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
600,25,0.1,2.73,1.25,0.25,0.0125,25,24,0.055,1.28807
1200,25,0.1,2.73,1.25,0.25,0.0125,25,48,0.04,1.17491
1800,25,0.1,2.73,1.25,0.25,0.0125,25,72,0.115,1.07301
2400,25,0.1,2.73,1.25,0.25,0.0125,25,96,0.04,1.09258
3600,25,0.1,2.73,1.25,0.25,0.0125,25,144,0.06,1.00149
4800,25,0.1,2.73,1.25,0.25,0.0125,25,192,0.07,1.08758
6000,25,0.1,2.73,1.25,0.25,0.0125,25,240,0.065,0.98322
7200,25,0.1,2.73,1.25,0.25,0.0125,25,288,0.065,1.00325
8400,25,0.1,2.73,1.25,0.25,0.0125,25,336,0.055,1.01198
9600,25,0.1,2.73,1.25,0.25,0.0125,25,384,0.04,0.97055
600,50,0.1,2.73,1.25,0.25,0.0125,25,12,0.055,0.75926
1200,50,0.1,2.73,1.25,0.25,0.0125,25,24,0.07,0.68884
1800,50,0.1,2.73,1.25,0.25,0.0125,25,36,0.055,0.72284
2400,50,0.1,2.73,1.25,0.25,0.0125,25,48,0.08,0.69678
3600,50,0.1,2.73,1.25,0.25,0.0125,25,72,0.07,0.69647
4800,50,0.1,2.73,1.25,0.25,0.0125,25,96,0.06,0.65365
6000,50,0.1,2.73,1.25,0.25,0.0125,25,120,0.065,0.66772
7200,50,0.1,2.73,1.25,0.25,0.0125,25,144,0.11,0.63643
8400,50,0.1,2.73,1.25,0.25,0.0125,25,168,0.095,0.63201
9600,50,0.1,2.73,1.25,0.25,0.0125,25,192,0.09,0.65264
600,100,0.1,2.73,1.25,0.25,0.0125,25,6,0.065,0.58141
1200,100,0.1,2.73,1.25,0.25,0.0125,25,12,0.075,0.52261
1800,100,0.1,2.73,1.25,0.25,0.0125,25,18,0.085,0.48772
2400,100,0.1,2.73,1.25,0.25,0.0125,25,24,0.135,0.47321
3600,100,0.1,2.73,1.25,0.25,0.0125,25,36,0.115,0.45342
4800,100,0.1,2.73,1.25,0.25,0.0125,25,48,0.095,0.45709
6000,100,0.1,2.73,1.25,0.25,0.0125,25,60,0.095,0.45161
7200,100,0.1,2.73,1.25,0.25,0.0125,25,72,0.105,0.45051
8400,100,0.1,2.73,1.25,0.25,0.0125,25,84,0.105,0.43665
9600,100,0.1,2.73,1.25,0.25,0.0125,25,96,0.115,0.43464
600,25,0.5,2.73,1.25,0.25,0.0125,25,24,0.07,1.08698
1200,25,0.5,2.73,1.25,0.25,0.0125,25,48,0.065,1.05085
1800,25,0.5,2.73,1.25,0.25,0.0125,25,72,0.06,1.06068
2400,25,0.5,2.73,1.25,0.25,0.0125,25,96,0.04,1.04358
3600,25,0.5,2.73,1.25,0.25,0.0125,25,144,0.09,1.00512
4800,25,0.5,2.73,1.25,0.25,0.0125,25,192,0.065,0.99982
6000,25,0.5,2.73,1.25,0.25,0.0125,25,240,0.04,0.98487
7200,25,0.5,2.73,1.25,0.25,0.0125,25,288,0.075,0.98891
8400,25,0.5,2.73,1.25,0.25,0.0125,25,336,0.09,0.96426
9600,25,0.5,2.73,1.25,0.25,0.0125,25,384,0.085,0.96564
600,50,0.5,2.73,1.25,0.25,0.0125,25,12,0.085,0.70917
1200,50,0.5,2.73,1.25,0.25,0.0125,25,24,0.065,0.69035
1800,50,0.5,2.73,1.25,0.25,0.0125,25,36,0.04,0.67236
2400,50,0.5,2.73,1.25,0.25,0.0125,25,48,0.1,0.65304
3600,50,0.5,2.73,1.25,0.25,0.0125,25,72,0.08,0.64051
4800,50,0.5,2.73,1.25,0.25,0.0125,25,96,0.07,0.6338
6000,50,0.5,2.73,1.25,0.25,0.0125,25,120,0.085,0.63909
7200,50,0.5,2.73,1.25,0.25,0.0125,25,144,0.065,0.63848
8400,50,0.5,2.73,1.25,0.25,0.0125,25,168,0.075,0.6844
9600,50,0.5,2.73,1.25,0.25,0.0125,25,192,0.025,0.64672
600,100,0.5,2.73,1.25,0.25,0.0125,25,6,0.105,0.47992
1200,100,0.5,2.73,1.25,0.25,0.0125,25,12,0.115,0.46569
1800,100,0.5,2.73,1.25,0.25,0.0125,25,18,0.095,0.4605
2400,100,0.5,2.73,1.25,0.25,0.0125,25,24,0.095,0.43756
3600,100,0.5,2.73,1.25,0.25,0.0125,25,36,0.16,0.42764
4800,100,0.5,2.73,1.25,0.25,0.0125,25,48,0.06,0.43644
6000,100,0.5,2.73,1.25,0.25,0.0125,25,60,0.125,0.42198
7200,100,0.5,2.73,1.25,0.25,0.0125,25,72,0.11,0.43299
8400,100,0.5,2.73,1.25,0.25,0.0125,25,84,0.11,0.41712
9600,100,0.5,2.73,1.25,0.25,0.0125,25,96,0.1,0.41778
600,25,0.1,2.73,1.5,0.25,0.0125,25,24,0.065,1.22341
1200,25,0.1,2.73,1.5,0.25,0.0125,25,48,0.1,1.20937
1800,25,0.1,2.73,1.5,0.25,0.0125,25,72,0.105,1.08904
2400,25,0.1,2.73,1.5,0.25,0.0125,25,96,0.085,1.10241
3600,25,0.1,2.73,1.5,0.25,0.0125,25,144,0.165,1.06719
4800,25,0.1,2.73,1.5,0.25,0.0125,25,192,0.16,0.99365
6000,25,0.1,2.73,1.5,0.25,0.0125,25,240,0.13,1.00462
7200,25,0.1,2.73,1.5,0.25,0.0125,25,288,0.125,1.04706
8400,25,0.1,2.73,1.5,0.25,0.0125,25,336,0.09,0.99817
9600,25,0.1,2.73,1.5,0.25,0.0125,25,384,0.125,0.98476
600,50,0.1,2.73,1.5,0.25,0.0125,25,12,0.13,0.87462
1200,50,0.1,2.73,1.5,0.25,0.0125,25,24,0.18,0.73366
1800,50,0.1,2.73,1.5,0.25,0.0125,25,36,0.2,0.72554
2400,50,0.1,2.73,1.5,0.25,0.0125,25,48,0.175,0.69074
3600,50,0.1,2.73,1.5,0.25,0.0125,25,72,0.225,0.63511
4800,50,0.1,2.73,1.5,0.25,0.0125,25,96,0.185,0.69369
6000,50,0.1,2.73,1.5,0.25,0.0125,25,120,0.185,0.67799
