n,p,or,r,alpha,n.sim,prop.drivers
500,0.05,1,0.25,0.005,10,0.02
1000,0.05,1,0.25,0.005,10,0.01
1500,0.05,1,0.25,0.005,10,0
2000,0.05,1,0.25,0.005,10,0.01
2500,0.05,1,0.25,0.005,10,0.02
3000,0.05,1,0.25,0.005,10,0
500,0.1,1,0.25,0.005,10,0
1000,0.1,1,0.25,0.005,10,0.01
1500,0.1,1,0.25,0.005,10,0
2000,0.1,1,0.25,0.005,10,0
2500,0.1,1,0.25,0.005,10,0
3000,0.1,1,0.25,0.005,10,0
500,0.15,1,0.25,0.005,10,0.02
1000,0.15,1,0.25,0.005,10,0.01
1500,0.15,1,0.25,0.005,10,0
2000,0.15,1,0.25,0.005,10,0.01
2500,0.15,1,0.25,0.005,10,0
3000,0.15,1,0.25,0.005,10,0
500,0.2,1,0.25,0.005,10,0
1000,0.2,1,0.25,0.005,10,0.02
1500,0.2,1,0.25,0.005,10,0
2000,0.2,1,0.25,0.005,10,0.01
2500,0.2,1,0.25,0.005,10,0
3000,0.2,1,0.25,0.005,10,0.01
500,0.25,1,0.25,0.005,10,0
1000,0.25,1,0.25,0.005,10,0.01
1500,0.25,1,0.25,0.005,10,0.01
2000,0.25,1,0.25,0.005,10,0.01
2500,0.25,1,0.25,0.005,10,0
3000,0.25,1,0.25,0.005,10,0
500,0.3,1,0.25,0.005,10,0
1000,0.3,1,0.25,0.005,10,0
1500,0.3,1,0.25,0.005,10,0.04
2000,0.3,1,0.25,0.005,10,0
2500,0.3,1,0.25,0.005,10,0.01
3000,0.3,1,0.25,0.005,10,0.01
500,0.05,1.25,0.25,0.005,10,0.03
1000,0.05,1.25,0.25,0.005,10,0.06
1500,0.05,1.25,0.25,0.005,10,0.08
2000,0.05,1.25,0.25,0.005,10,0.16
2500,0.05,1.25,0.25,0.005,10,0.21
3000,0.05,1.25,0.25,0.005,10,0.22
500,0.1,1.25,0.25,0.005,10,0.05
1000,0.1,1.25,0.25,0.005,10,0.17
1500,0.1,1.25,0.25,0.005,10,0.2
2000,0.1,1.25,0.25,0.005,10,0.32
2500,0.1,1.25,0.25,0.005,10,0.44
3000,0.1,1.25,0.25,0.005,10,0.52
500,0.15,1.25,0.25,0.005,10,0.08
1000,0.15,1.25,0.25,0.005,10,0.18
1500,0.15,1.25,0.25,0.005,10,0.3
2000,0.15,1.25,0.25,0.005,10,0.48
2500,0.15,1.25,0.25,0.005,10,0.57
3000,0.15,1.25,0.25,0.005,10,0.62
500,0.2,1.25,0.25,0.005,10,0.12
1000,0.2,1.25,0.25,0.005,10,0.28
1500,0.2,1.25,0.25,0.005,10,0.48
2000,0.2,1.25,0.25,0.005,10,0.51
2500,0.2,1.25,0.25,0.005,10,0.61
3000,0.2,1.25,0.25,0.005,10,0.71
500,0.25,1.25,0.25,0.005,10,0.15
1000,0.25,1.25,0.25,0.005,10,0.31
1500,0.25,1.25,0.25,0.005,10,0.52
2000,0.25,1.25,0.25,0.005,10,0.63
2500,0.25,1.25,0.25,0.005,10,0.68
3000,0.25,1.25,0.25,0.005,10,0.77
500,0.3,1.25,0.25,0.005,10,0.12
1000,0.3,1.25,0.25,0.005,10,0.35
1500,0.3,1.25,0.25,0.005,10,0.44
2000,0.3,1.25,0.25,0.005,10,0.67
2500,0.3,1.25,0.25,0.005,10,0.74
3000,0.3,1.25,0.25,0.005,10,0.74
500,0.05,1.5,0.25,0.005,10,0.21
1000,0.05,1.5,0.25,0.005,10,0.39
1500,0.05,1.5,0.25,0.005,10,0.61
2000,0.05,1.5,0.25,0.005,10,0.66
2500,0.05,1.5,0.25,0.005,10,0.72
3000,0.05,1.5,0.25,0.005,10,0.76
500,0.1,1.5,0.25,0.005,10,0.27
1000,0.1,1.5,0.25,0.005,10,0.52
1500,0.1,1.5,0.25,0.005,10,0.71
2000,0.1,1.5,0.25,0.005,10,0.77
2500,0.1,1.5,0.25,0.005,10,0.8
3000,0.1,1.5,0.25,0.005,10,0.81
500,0.15,1.5,0.25,0.005,10,0.35
1000,0.15,1.5,0.25,0.005,10,0.64
1500,0.15,1.5,0.25,0.005,10,0.84
2000,0.15,1.5,0.25,0.005,10,0.75
2500,0.15,1.5,0.25,0.005,10,0.82
3000,0.15,1.5,0.25,0.005,10,0.89
500,0.2,1.5,0.25,0.005,10,0.41
1000,0.2,1.5,0.25,0.005,10,0.7
1500,0.2,1.5,0.25,0.005,10,0.78
2000,0.2,1.5,0.25,0.005,10,0.8
2500,0.2,1.5,0.25,0.005,10,0.88
3000,0.2,1.5,0.25,0.005,10,0.88
500,0.25,1.5,0.25,0.005,10,0.45
1000,0.25,1.5,0.25,0.005,10,0.68
1500,0.25,1.5,0.25,0.005,10,0.76
2000,0.25,1.5,0.25,0.005,10,0.87
2500,0.25,1.5,0.25,0.005,10,0.86
3000,0.25,1.5,0.25,0.005,10,0.89
500,0.3,1.5,0.25,0.005,10,0.44
1000,0.3,1.5,0.25,0.005,10,0.71
1500,0.3,1.5,0.25,0.005,10,0.8
2000,0.3,1.5,0.25,0.005,10,0.86
2500,0.3,1.5,0.25,0.005,10,0.88
3000,0.3,1.5,0.25,0.005,10,0.93
500,0.05,1.75,0.25,0.005,10,0.42
1000,0.05,1.75,0.25,0.005,10,0.68
1500,0.05,1.75,0.25,0.005,10,0.74
2000,0.05,1.75,0.25,0.005,10,0.8
2500,0.05,1.75,0.25,0.005,10,0.83
3000,0.05,1.75,0.25,0.005,10,0.87
500,0.1,1.75,0.25,0.005,10,0.51
1000,0.1,1.75,0.25,0.005,10,0.73
1500,0.1,1.75,0.25,0.005,10,0.83
2000,0.1,1.75,0.25,0.005,10,0.92
2500,0.1,1.75,0.25,0.005,10,0.9
3000,0.1,1.75,0.25,0.005,10,0.94
500,0.15,1.75,0.25,0.005,10,0.56
1000,0.15,1.75,0.25,0.005,10,0.75
1500,0.15,1.75,0.25,0.005,10,0.86
2000,0.15,1.75,0.25,0.005,10,0.87
2500,0.15,1.75,0.25,0.005,10,0.9
3000,0.15,1.75,0.25,0.005,10,0.95
500,0.2,1.75,0.25,0.005,10,0.64
1000,0.2,1.75,0.25,0.005,10,0.75
1500,0.2,1.75,0.25,0.005,10,0.89
2000,0.2,1.75,0.25,0.005,10,0.93
2500,0.2,1.75,0.25,0.005,10,0.95
3000,0.2,1.75,0.25,0.005,10,0.96
500,0.25,1.75,0.25,0.005,10,0.7
