n,n.communities,p,community.var,or,r,alpha.i,alpha.c,n.sim,n.per.community,prop.drivers.i,prop.drivers.c,or.margin.of.error.i,or.margin.of.error.c
700,25,0.5,2.73,1,0.25,0.01,0.0125,25,28,0.024,0.05,0.28913,0.99321
1100,25,0.5,2.73,1,0.25,0.01,0.0125,25,44,0,0.01,0.226,1.06175
1400,25,0.5,2.73,1,0.25,0.01,0.0125,25,56,0.008,0.05,0.19939,1.13617
1800,25,0.5,2.73,1,0.25,0.01,0.0125,25,72,0.024,0.02,0.17069,0.99319
2100,25,0.5,2.73,1,0.25,0.01,0.0125,25,84,0.008,0.05,0.15655,1.02845
700,50,0.5,2.73,1,0.25,0.01,0.0125,25,14,0.048,0.02,0.29671,0.67878
1100,50,0.5,2.73,1,0.25,0.01,0.0125,25,22,0.008,0.02,0.2291,0.68757
1400,50,0.5,2.73,1,0.25,0.01,0.0125,25,28,0,0.02,0.19723,0.67208
1800,50,0.5,2.73,1,0.25,0.01,0.0125,25,36,0.008,0.02,0.16846,0.62522
2100,50,0.5,2.73,1,0.25,0.01,0.0125,25,42,0.016,0.01,0.15625,0.65677
700,100,0.5,2.73,1,0.25,0.01,0.0125,25,7,0.008,0.02,0.30623,0.4986
1100,100,0.5,2.73,1,0.25,0.01,0.0125,25,11,0.016,0,0.23081,0.46017
1400,100,0.5,2.73,1,0.25,0.01,0.0125,25,14,0,0,0.20124,0.46621
1800,100,0.5,2.73,1,0.25,0.01,0.0125,25,18,0.016,0,0.17377,0.45185
2100,100,0.5,2.73,1,0.25,0.01,0.0125,25,21,0,0.03,0.16008,0.45583
700,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,28,0.232,0.06,0.3092,1.17599
1100,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,44,0.472,0.08,0.23292,1.01356
1400,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,56,0.616,0.03,0.20356,1.06153
1800,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,72,0.656,0.09,0.17523,0.98268
2100,25,0.5,2.73,1.25,0.25,0.01,0.0125,25,84,0.736,0.05,0.16037,1.01726
700,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,14,0.256,0.04,0.31507,0.75918
1100,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,22,0.44,0.05,0.23217,0.65046
1400,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,28,0.56,0.06,0.20429,0.67396
1800,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,36,0.68,0.06,0.17616,0.64249
2100,50,0.5,2.73,1.25,0.25,0.01,0.0125,25,42,0.664,0.09,0.1642,0.67653
700,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,7,0.192,0.12,0.3157,0.47526
1100,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,11,0.384,0.07,0.24144,0.46928
1400,100,0.5,2.73,1.25,0.25,0.01,0.0125,25,14,0.584,0.1,0.20782,0.45014
