n,n.communities,p,community.var,or,r,alpha,n.sim,n.per.community,prop.drivers,or.margin.of.error
600,25,0.1,2.73,1.25,0.25,0.0125,500,24,0.0535,1.18158
1200,25,0.1,2.73,1.25,0.25,0.0125,500,48,0.05775,1.10881
1800,25,0.1,2.73,1.25,0.25,0.0125,500,72,0.056,1.07962
2400,25,0.1,2.73,1.25,0.25,0.0125,500,96,0.05925,1.05418
3600,25,0.1,2.73,1.25,0.25,0.0125,500,144,0.0635,1.03117
4800,25,0.1,2.73,1.25,0.25,0.0125,500,192,0.0715,1.02038
6000,25,0.1,2.73,1.25,0.25,0.0125,500,240,0.0655,1.01732
7200,25,0.1,2.73,1.25,0.25,0.0125,500,288,0.064,1.01594
8400,25,0.1,2.73,1.25,0.25,0.0125,500,336,0.06925,1.01193
9600,25,0.1,2.73,1.25,0.25,0.0125,500,384,0.06525,0.99925
600,50,0.1,2.73,1.25,0.25,0.0125,500,12,0.0495,0.79954
1200,50,0.1,2.73,1.25,0.25,0.0125,500,24,0.06375,0.73638
1800,50,0.1,2.73,1.25,0.25,0.0125,500,36,0.06375,0.70241
2400,50,0.1,2.73,1.25,0.25,0.0125,500,48,0.05825,0.68787
3600,50,0.1,2.73,1.25,0.25,0.0125,500,72,0.07275,0.66844
4800,50,0.1,2.73,1.25,0.25,0.0125,500,96,0.07,0.66481
6000,50,0.1,2.73,1.25,0.25,0.0125,500,120,0.06275,0.65936
7200,50,0.1,2.73,1.25,0.25,0.0125,500,144,0.076,0.64813
8400,50,0.1,2.73,1.25,0.25,0.0125,500,168,0.0655,0.64907
9600,50,0.1,2.73,1.25,0.25,0.0125,500,192,0.07375,0.64078
600,100,0.1,2.73,1.25,0.25,0.0125,500,6,0.07125,0.59017
1200,100,0.1,2.73,1.25,0.25,0.0125,500,12,0.087,0.51375
1800,100,0.1,2.73,1.25,0.25,0.0125,500,18,0.09175,0.49059
2400,100,0.1,2.73,1.25,0.25,0.0125,500,24,0.09625,0.46948
3600,100,0.1,2.73,1.25,0.25,0.0125,500,36,0.101,0.45693
4800,100,0.1,2.73,1.25,0.25,0.0125,500,48,0.1045,0.448
6000,100,0.1,2.73,1.25,0.25,0.0125,500,60,0.099,0.44315
7200,100,0.1,2.73,1.25,0.25,0.0125,500,72,0.1105,0.44094
8400,100,0.1,2.73,1.25,0.25,0.0125,500,84,0.108,0.43583
9600,100,0.1,2.73,1.25,0.25,0.0125,500,96,0.1155,0.4336
600,25,0.5,2.73,1.25,0.25,0.0125,500,24,0.059,1.06177
1200,25,0.5,2.73,1.25,0.25,0.0125,500,48,0.05875,1.02165
1800,25,0.5,2.73,1.25,0.25,0.0125,500,72,0.06675,1.01801
2400,25,0.5,2.73,1.25,0.25,0.0125,500,96,0.06575,1.0055
3600,25,0.5,2.73,1.25,0.25,0.0125,500,144,0.0695,0.994
4800,25,0.5,2.73,1.25,0.25,0.0125,500,192,0.06325,1.00384
6000,25,0.5,2.73,1.25,0.25,0.0125,500,240,0.065,1.00562
7200,25,0.5,2.73,1.25,0.25,0.0125,500,288,0.0635,1.00196
8400,25,0.5,2.73,1.25,0.25,0.0125,500,336,0.064,1.00946
9600,25,0.5,2.73,1.25,0.25,0.0125,500,384,0.0775,0.98784
600,50,0.5,2.73,1.25,0.25,0.0125,500,12,0.0595,0.72481
1200,50,0.5,2.73,1.25,0.25,0.0125,500,24,0.06825,0.68363
1800,50,0.5,2.73,1.25,0.25,0.0125,500,36,0.0645,0.66804
2400,50,0.5,2.73,1.25,0.25,0.0125,500,48,0.0735,0.65329
3600,50,0.5,2.73,1.25,0.25,0.0125,500,72,0.06925,0.64645
4800,50,0.5,2.73,1.25,0.25,0.0125,500,96,0.07325,0.6394
6000,50,0.5,2.73,1.25,0.25,0.0125,500,120,0.08175,0.63851
7200,50,0.5,2.73,1.25,0.25,0.0125,500,144,0.0645,0.6416
8400,50,0.5,2.73,1.25,0.25,0.0125,500,168,0.07325,0.62536
9600,50,0.5,2.73,1.25,0.25,0.0125,500,192,0.066,0.63649
600,100,0.5,2.73,1.25,0.25,0.0125,500,6,0.0905,0.50016
1200,100,0.5,2.73,1.25,0.25,0.0125,500,12,0.098,0.4619
1800,100,0.5,2.73,1.25,0.25,0.0125,500,18,0.10925,0.45015
2400,100,0.5,2.73,1.25,0.25,0.0125,500,24,0.113,0.43994
3600,100,0.5,2.73,1.25,0.25,0.0125,500,36,0.11,0.43458
4800,100,0.5,2.73,1.25,0.25,0.0125,500,48,0.11025,0.42729
